ICAO,TIPO,NOME,MUNICIPIO,UF,LATD,LONGT,DIST,APROXIMCAO,SUPERFICIE,COMPRIMENTO,LARGURA,ORIENTACAO
SNSL,Privado,Fazenda São Luiz,Luís Eduardo Magalhães,BA,-12.425277777777778,-46.249722222222225,2.584976926372177,VFR Diurna,Cascalho,1200,20,110.0
SWLZ,Privado,Fazenda São Luiz,Paracatu,MG,-17.451944444444443,-47.25,4.704275644179425,VFR Diurna,Cascalho,1200,25,40.0
SDJN,Privado,Fazenda São Luiz,Jardinópolis,SP,-21.096666666666664,-47.73388888888889,8.162691795338041,VFR Diurna,Grama,600,23,160.0
SNLD,Privado,Fazenda São Luiz do Matão,Carneirinho,MG,-19.87,-50.65277777777778,7.123324516017351,VFR Diurna,Grama,1000,25,10.0
SJSU,Privado,Fazenda São Marcus,Alto Paraíso,PR,-23.561666666666667,-53.79722222222222,11.697083655740121,VFR Diurna,Grama,700,20,90.0
SNDS,Privado,Fazenda São Martinho,Ilha Solteira,SP,-20.357222222222223,-51.25555555555555,7.765739195138707,VFR Diurna,Terra,500,20,110.0
SSMZ,Privado,Fazenda São Mateus,Comodoro,MT,-13.917222222222222,-59.983333333333334,11.25078401931984,VFR Diurna,Cascalho,1200,20,160.0
SNWH,Privado,Fazenda São Matheus,Querência do Norte,PR,-22.961944444444445,-53.54666666666667,11.047935624298413,VFR Diurna,Grama,550,20,160.0
SSMI,Privado,Fazenda São Miguel,Campo Verde,MT,-15.359166666666667,-54.980000000000004,6.643023962105746,VFR Diurna,Cascalho,1100,18,50.0
SNEI,Privado,Fazenda São Miguel,Rio Pardo,RS,-30.178611111111113,-52.17222222222222,17.51227557332778,VFR Diurna,Grama,800,20,30.0
SNTA,Privado,Fazenda São Miguel,Pompéia,SP,-21.86861111111111,-50.11638888888889,8.970229990376328,VFR Diurna,Terra,1100,20,90.0
SDTV,Privado,Fazenda São Miguel ,São Desidério,BA,-12.610833333333334,-46.24638888888889,2.55344154712183,VFR Diurna,Terra,1600,30,90.0
SSMC,Privado,Fazenda São Miguel da Catequese,Nova Andradina,MS,-22.081944444444446,-53.519999999999996,10.249108004698519,VFR Diurna,Grama,900,20,170.0
SWQT,Privado,Fazenda São Nicolau,Cotriguaçu,MT,-9.862499999999999,-58.23083333333334,9.967510903485941,VFR Diurna,Piçarra,930,20,10.0
SSLB,Privado,Fazenda São Paulino,Corumbá,MS,-19.025277777777777,-55.92611111111111,9.35488634532513,VFR Diurna/Noturna,Grama,560,20,70.0
SSXW,Privado,Fazenda São Paulo,Ivinhema,MS,-22.295555555555556,-53.848888888888894,10.592566517709425,VFR Diurna,Grama,1100,30,30.0
SSPW,Privado,Fazenda São Paulo,Costa Rica,MS,-18.10527777777778,-53.152499999999996,6.7283108904294515,VFR Diurna,Cascalho,1100,20,10.0
SDEB,Privado,Fazenda São Paulo dos Palmares,Timburi,SP,-23.269444444444442,-49.5475,10.298834664540005,VFR Diurna,Terra,1130,20,170.0
SICP,Privado,Fazenda São Pedro,Unaí,MG,-16.799722222222226,-46.744166666666665,4.306029454206493,VFR Diurna,Cascalho,614,18,130.0
SDVK,Privado,Fazenda São Pedro,Nova Andradina,MS,-21.794722222222223,-53.474444444444444,9.973912797739588,VFR Diurna,Terra,1100,25,40.0
SSGS,Privado,Fazenda São Pedro,Eldorado,MS,-23.664166666666667,-54.07944444444445,11.912793585179188,VFR Diurna,Grama,500,20,50.0
SJCP,Privado,Fazenda São Roberto,Paraúna,GO,-17.067777777777778,-50.845555555555556,4.56669978360525,VFR Diurna,Cascalho,900,25,40.0
SJDT,Privado,Fazenda São Roque,Aquidauana,MS,-19.51833333333333,-55.31194444444444,9.235026072439746,VFR Diurna,Grama,570,20,60.0
SJAS,Privado,Fazenda São Roque,Reginópolis,SP,-21.660277777777775,-49.16444444444444,8.66925588548548,VFR Diurna,Terra,900,20,170.0
SWNL,Privado,Fazenda São Sebastião,Ribas do Rio Pardo,MS,-20.179166666666667,-54.05166666666666,8.912712090354736,VFR Diurna,Terra,1200,20,40.0
SIWU,Privado,Fazenda São Sebastião,Aquidauana,MS,-19.358611111111113,-56.41166666666666,9.941177229422582,VFR Diurna,Grama,800,25,140.0
SISD,Privado,Fazenda São Sebastião,Aparecida do Rio Doce,GO,-18.14527777777778,-51.27388888888889,5.722179914892144,VFR Diurna,Asfalto,1399,18,160.0
SDWJ,Privado,Fazenda São Sebastião,Campo Novo do Parecis,MT,-13.329166666666666,-58.04194444444444,9.277785537255562,VFR Diurna,Cascalho,900,18,180.0
SIRS,Privado,Fazenda São Sebastião,Campo Florido,MG,-19.636666666666667,-48.78861111111111,6.636692762054097,VFR Diurna,Asfalto,1000,18,160.0
SDSB,Privado,Fazenda São Sebastião,Rifaina,SP,-19.995833333333334,-47.52388888888889,7.10594658923161,VFR Diurna,Grama,1150,40,120.0
SSTL,Privado,Fazenda São Sebastião,São Desidério,BA,-13.068333333333333,-46.259166666666665,2.511763020713189,VFR Diurna,Cascalho,820,18,30.0
SIJO,Privado,Fazenda São Sebastião do Jatobazinho,Corumbá,MS,-18.577222222222222,-57.51111111111111,10.368820143721246,VFR Diurna,Grama,800,18,50.0
SWSN,Privado,Fazenda São Valentim,Pontes e Lacerda,MT,-14.988888888888889,-59.31083333333333,10.726828346415198,VFR Diurna,Grama,800,18,20.0
SJHS,Privado,Fazenda São Vicente,Uberlândia,MG,-19.310555555555556,-48.34305555555556,6.324981658344558,VFR Diurna,Terra,1200,30,120.0
SJJQ,Privado,Fazendas Apóstolo Simão Coffee,Rio Pardo de Minas,MG,-15.720555555555556,-42.40694444444444,6.920252779628118,VFR Diurna,Terra,1000,20,90.0
SIKQ,Privado,Fazenda Sararé,Conquista D`Oeste,MT,-14.788333333333334,-59.346111111111114,10.726241762410496,VFR Diurna,Asfalto,700,18,140.0
SSVM,Privado,Fazenda Savannah,Cocos,BA,-14.698611111111111,-45.83111111111111,3.394458367401889,VFR Diurna,Cascalho,1200,25,40.0
SIMG,Privado,Fazenda Seis Palmas,Porto Murtinho,MS,-21.092222222222222,-57.71805555555556,12.064483358981263,VFR Diurna,Grama,750,18,180.0
SNVJ,Privado,Fazenda Senhora Aparecida,Tangará da Serra,MT,-14.703888888888889,-58.543055555555554,9.92047641182893,VFR Diurna,Cascalho,1000,20,20.0
SSQO,Privado,Fazenda Sequóia,Setubinha,MG,-17.652777777777775,-42.265277777777776,7.997484119249901,VFR Diurna,Aço,1300,20,90.0
SSGM,Privado,Fazenda Seriema,Bela Vista,MS,-21.693333333333335,-56.5625,11.674634927673088,VFR Diurna,Terra,800,18,90.0
SSDM,Privado,Fazenda Serinhaém,Ituberá,BA,-13.83361111111111,-38.98916666666667,9.816292995780655,VFR Diurna,Cascalho,790,18,40.0
SJCQ,Privado,Fazenda Serra Azul,Baixa Grande,BA,-11.935555555555556,-40.04972222222222,8.785003500108218,VFR Diurna/Noturna,Asfalto,1500,23,160.0
SIZA,Privado,Fazenda Serra Azul,Planalto da Serra,MT,-14.668055555555554,-54.56888888888889,6.034030301721956,VFR Diurna,Cascalho,1100,18,80.0
SDKX,Privado,Fazenda Serra Azul,Rosário Oeste,MT,-14.628055555555555,-55.655,7.074870309198274,VFR Diurna,Cascalho,750,18,110.0
SSVU,Privado,Fazenda Serra do Cabral,Francisco Dumont,MG,-17.698055555555555,-44.34805555555556,6.451768646878117,VFR Diurna,Piçarra,1279,18,90.0
SITV,Privado,Fazenda Serra Dourada,Coxim,MS,-18.545,-54.45944444444445,7.944608428766002,VFR Diurna,Grama,900,40,50.0
SDJX,Privado,Fazenda Serra Dourada,Palmeirópolis,TO,-13.104444444444445,-48.38194444444444,0.40186534582225825,VFR Diurna,Terra,1000,19,30.0
SNQE,Privado,Fazenda Serra Grande,Parauapebas,PA,-6.068888888888889,-49.84,7.013216183361803,VFR Diurna,Terra,760,18,10.0
SIGW,Privado,Fazenda Serra Grande,Ribeiro Gonçalves,PI,-8.343333333333334,-45.518055555555556,5.679761184609574,VFR Diurna,Piçarra,1000,18,80.0
SSSR,Privado,Fazenda Serrana,São Desidério,BA,-12.999166666666666,-46.00194444444445,2.7680556809945895,VFR Diurna,Cascalho,1000,20,70.0
SJCC,Privado,Fazenda Serrana,Correntina,BA,-13.930833333333332,-46.23111111111111,2.704146350434442,VFR Diurna,Cascalho,1200,30,120.0
SIYS,Privado,Fazenda Sertaneja,Ananás,TO,-6.225833333333333,-48.25194444444445,6.793946981425433,VFR Diurna,Grama,1060,18,60.0
SSTZ,Privado,Fazenda Sertãozinho,Aquidauana,MS,-19.287222222222223,-56.13527777777778,9.683825691090897,VFR Diurna,Grama,550,20,10.0
SSYI,Privado,Fazenda Sesmarias,Itaeté,BA,-13.056111111111111,-40.83416666666667,7.9360317004933005,VFR Diurna/Noturna,Asfalto,990,18,70.0
SIFA,Privado,Fazenda Sete,Aquidauana,MS,-19.785555555555558,-56.473888888888894,10.266141836633498,VFR Diurna,Grama,800,18,160.0
SSXP,Privado,Fazenda Sete Barras,Ribeirão Cascalheira,MT,-12.561666666666667,-51.69472222222222,2.9573867160504324,VFR Diurna,Cascalho,900,40,130.0
SWRC,Privado,Fazenda Sevilha,Ribeirão Cascalheira,MT,-12.640277777777778,-51.93055555555555,3.1809607820458154,VFR Diurna,Terra,850,20,50.0
SDSH,Privado,Fazenda Shalon (antigo Serafino Ferruzzi),Alta Floresta,MT,-9.987777777777778,-56.67638888888889,8.460760484637003,VFR Diurna,Asfalto,1000,18,60.0
SJJN,Privado,Fazenda Shangri-lá,Alta Floresta,MT,-10.28277777777778,-56.32555555555556,8.029303603552721,VFR Diurna,Cascalho,850,20,140.0
SDOE,Privado,Fazenda Sibéria,Grajaú,MA,-5.722222222222222,-45.79138888888889,7.863725169024579,VFR Diurna,Terra,799,18,90.0
SSSY,Privado,Fazenda Silvana,Nova Andradina,MS,-22.52361111111111,-53.49944444444444,10.633287983910026,VFR Diurna,Terra,920,30,50.0
SWSG,Privado,Fazenda Simarelli,Campos de Júlio,MT,-13.604444444444445,-59.31722222222223,10.564527897230338,VFR Diurna,Asfalto,1500,23,100.0
SIML,Privado,Fazenda Siriema,Santo Antônio do Leverger,MT,-15.848055555555556,-55.83861111111111,7.620805960504066,VFR Diurna,Cascalho,700,18,160.0
SJKJ,Privado,Fazenda Siriema,Campos de Júlio,MT,-13.561388888888889,-59.26611111111111,10.511113449171686,VFR Diurna,Saibro,1000,23,10.0
SWTH,Privado,Fazenda Smith,Bonfim,RR,2.9191666666666665,-60.51277777777778,19.781625244134585,VFR Diurna,Cascalho,900,13,110.0
SIHB,Privado,Fazenda Soberana,Grajaú,MA,-5.4558333333333335,-46.0625,8.015298306641148,VFR Diurna,Cascalho,718,18,50.0
SNYV,Privado,Fazenda Sococo,Moju,PA,-2.1197222222222223,-48.645833333333336,10.880986255055928,VFR Diurna,Piçarra,974,20,90.0
SDBD,Privado,Fazenda Sodema,Vera,MT,-12.295277777777777,-55.536944444444444,6.803541028368339,VFR Diurna,Terra,800,20,70.0
SNRK,Privado,Fazenda Soledade,Campo Alegre de Goiás,GO,-17.383333333333333,-47.53638888888889,4.553614771208464,VFR Diurna,Terra,800,18,170.0
SDXW,Privado,Fazenda Sombra da Serra,Rio Verde de Mato Grosso,MS,-18.996666666666666,-55.13305555555556,8.743482550688686,VFR Diurna,Terra,1000,23,110.0
SSUA,Privado,Fazenda Sonora Estância,Sonora,MS,-17.630555555555556,-54.769444444444446,7.578613223740984,VFR Diurna,Terra,900,30,160.0
SJFO,Privado,Fazenda Sorriso,Mossâmedes,GO,-16.16472222222222,-50.13861111111111,3.4479795703112757,VFR Diurna,Asfalto,840,30,90.0
SSAH,Privado,Fazenda Sorriso,São Félix do Araguaia,MT,-11.527500000000002,-51.223055555555554,2.861072842246759,VFR Diurna,Cascalho,1400,20,120.0
SIYK,Privado,Fazenda Sorriso Metálico,Urutaí,GO,-17.456666666666667,-48.21527777777778,4.491057171936798,VFR Diurna,Asfalto,710,18,150.0
SWQG,Privado,Fazenda Sossego,Maracaju,MS,-21.45722222222222,-55.42111111111111,10.759269804610115,VFR Diurna,Grama,900,35,110.0
SSHQ,Privado,Fazenda Sossego,Rosana,SP,-22.351666666666667,-52.674166666666665,10.133912709588312,VFR Diurna,Terra,4500,23,20.0
SNDQ,Privado,Fazenda Soya,São Desidério,BA,-12.921111111111111,-45.56944444444445,3.201527654259391,VFR Diurna,Terra,1200,20,90.0
SIWB,Privado,Fazenda Sperafico,Amambai,MS,-23.190277777777776,-55.28666666666666,12.09581355811654,VFR Diurna,Cascalho,900,18,80.0
SIMR,Privado,Fazendas Reunidas,Rio Verde,GO,-17.750833333333333,-51.15611111111111,5.316384447693656,VFR Diurna,Asfalto,1300,18,120.0
SSLW,Privado,Fazendas Reunidas Schlatter,Chapadão do Sul,MS,-18.80777777777778,-52.60027777777778,6.95710504240001,VFR Diurna,Cascalho,900,25,130.0
SSZS,Privado,Fazenda Sucupira,Vila Rica,MT,-10.026666666666667,-51.809444444444445,4.251932930089007,VFR Diurna,Cascalho,1200,18,10.0
SDUS,Privado,Fazenda Sucuri,Machadinho d'Oeste,RO,-9.190555555555555,-61.77055555555555,13.547188332949199,VFR Diurna,Cascalho,800,18,30.0
SSSU,Privado,Fazenda Sucuri,Rio Verde de Mato Grosso,MS,-18.875833333333333,-55.06027777777778,8.607729775191366,VFR Diurna,Grama,550,20,40.0
SSVS,Privado,Fazenda Sucuri,Rio Brilhante,MS,-21.695555555555554,-54.76861111111111,10.563901820922927,VFR Diurna,Terra,800,18,30.0
SDZX,Privado,Fazenda Suri,Campinápolis,MT,-14.813333333333334,-53.12416666666667,4.716666740282683,VFR Diurna,Grama,1000,18,160.0
SILL,Privado,Fazenda Tabaroa,Águas de Santa Bárbara,SP,-22.79416666666667,-49.27027777777778,9.806935227143226,VFR Diurna,Terra,800,30,160.0
SDQK,Privado,Fazenda Taboca,Rio Verde de Mato Grosso,MS,-18.884444444444444,-55.3675,8.84045771833976,VFR Diurna,Grama,1000,25,50.0
indefinido,Privado,FAZENDA TAINACAN,Aruanã,GO,-14.149444444444445,-50.8275,2.356804782086159,VFR Diurna,Aço,0,0,0.001
SDTH,Privado,Fazenda Tamanduá,Brasnorte,MT,-13.139999999999999,-57.57666666666667,8.807779389708722,VFR Diurna,Terra,800,18,110.0
SDDI,Privado,Fazenda Tamara,Salmourão,SP,-21.59583333333333,-50.83527777777778,8.840459433413352,VFR Diurna,Terra,600,23,160.0
SITR,Privado,Fazenda Tamboril,Bom Jesus de Goiás,GO,-18.099444444444444,-49.73694444444445,5.190309740335087,VFR Diurna,Cascalho,1120,20,80.0
SWZE,Privado,Fazenda Tamboril,Pontes e Lacerda,MT,-15.062222222222223,-59.37416666666667,10.8028288511978,VFR Diurna,Grama,800,18,130.0
SNGV,Privado,Fazenda Tanguru,Querência,MT,-12.726944444444445,-52.384166666666665,3.624466861603809,VFR Diurna,Asfalto,1500,24,180.0
SWUE,Privado,Fazenda Tapayuna,Nova Canaã do Norte,MT,-10.703333333333333,-55.93666666666666,7.525675311152399,VFR Diurna,Cascalho,1000,20,140.0
SDTE,Privado,Fazenda Tapijara,Arandu,SP,-23.22,-49.07527777777778,10.224558402278552,VFR Diurna,Asfalto,1140,18,170.0
SJZE,Privado,Fazenda Tapiraguaia,Santa Terezinha,MT,-10.542222222222222,-50.559999999999995,3.0405216008011267,VFR Diurna,Cascalho,1350,60,60.0
SJJK,Privado,Fazenda Taquaral,Alta Floresta,MT,-10.02888888888889,-56.73833333333334,8.50422467634052,VFR Diurna,Cascalho,1000,30,170.0
SWHZ,Privado,Fazenda Taquaruçu Retiro,Carlinda,MT,-10.3375,-55.95944444444445,7.6666170942439225,VFR Diurna,Grama,800,20,50.0
SNQZ,Privado,Fazenda Taquarussu,Caarapó,MS,-22.546666666666667,-55.003055555555555,11.401308082982688,VFR Diurna,Grama,7001,30,70.0
SWXZ,Privado,Fazenda Taquarussu,Comodoro,MT,-13.3125,-60.29333333333333,11.527569880990137,VFR Diurna,Grama,700,18,150.0
SWQQ,Privado,Fazenda Taquarussu,Sete Quedas,MS,-23.90361111111111,-54.981944444444444,12.548983586060261,VFR Diurna,Grama,900,23,30.0
SWIL,Privado,Fazenda Tarumã,Pedra Preta,MT,-17.015833333333333,-54.349722222222226,6.8746067115342395,VFR Diurna,Grama,800,35,30.0
SIEQ,Privado,Fazenda Tauá,Nova Mutum,MT,-13.305833333333334,-56.573055555555555,7.809046678747935,VFR Diurna,Cascalho,1680,28,30.0
SIAJ,Privado,Fazenda Tauá,Prado,BA,-16.983333333333334,-39.163888888888884,10.399245892056642,VFR Diurna,Barro,1100,23,120.0
SITF,Privado,Fazenda Tereré,Antônio João,MS,-22.360833333333336,-55.757777777777775,11.681362889922108,VFR Diurna,Asfalto,1190,20,140.0
SIYX,Privado,Fazenda Tereré,Porto Murtinho,MS,-21.341666666666665,-57.84722222222222,12.327991160338437,VFR Diurna,Terra,1000,18,140.0
SJQQ,Privado,Fazenda Terra Alta,Portel,PA,-2.865,-50.99277777777778,10.375883868345035,VFR Diurna,Terra,840,18,60.0
SIQS,Privado,Fazenda Terra do Sol,Porto Estrela,MT,-15.37638888888889,-57.12972222222222,8.690925139704664,VFR Diurna,Cascalho,700,25,170.0
SSYW,Privado,Fazenda Terra Forte,Coxim,MS,-18.26638888888889,-54.77861111111111,7.9898848185427696,VFR Diurna,Cascalho,950,18,100.0
SSUQ,Privado,Fazenda Terra Morena,Correntina,BA,-13.20361111111111,-45.25388888888889,3.522001537513427,VFR Diurna,Terra,1400,18,20.0
SDNT,Privado,Fazenda Terra Prometida,Porto Nacional,TO,-10.414444444444445,-48.25666666666667,2.636021365993703,VFR Diurna/Noturna,Asfalto,1210,20,30.0
SWFW,Privado,Fazenda Terra Way - VII,Tabaporã,MT,-11.547222222222222,-56.026944444444446,7.40093277508707,VFR Diurna,Terra,1000,18,70.0
SDUE,Privado,Fazenda Thália,Balsa Nova,PR,-25.516666666666666,-49.7,12.551169046923256,VFR Diurna,Asfalto,1100,23,90.0
SNTV,Privado,Fazenda Timbaúba,Luís Eduardo Magalhães,BA,-12.515833333333333,-46.14416666666666,2.6700970123865515,VFR Diurna,Terra,1600,25,80.0
SJTR,Privado,Fazenda Timbaúba I,Aurora do Tocantins,TO,-12.525,-46.197222222222216,2.616258873626081,VFR Diurna,Terra,1600,25,80.0
SNFT,Privado,Fazenda Toca da Onça,União do Sul,MT,-11.323611111111111,-54.57416666666667,6.041409636933634,VFR Diurna,Terra,550,18,140.0
SWRF,Privado,Fazenda Toloza,Brasnorte,MT,-13.18361111111111,-57.98388888888889,9.215718175862019,VFR Diurna,Terra,950,18,30.0
SIJS,Privado,Fazenda Tonga,Paragominas,PA,-3.4547222222222222,-47.52861111111111,9.625662274794138,VFR Diurna,Piçarra,800,23,90.0
SISU,Privado,Fazenda Topázio Imperial,Gameleiras,MG,-14.967222222222222,-43.31472222222222,5.799139496884087,VFR Diurna,Terra,1200,23,80.0
SSTY,Privado,Fazenda Tosana,Cabo Frio,RJ,-22.596944444444443,-42.025,11.730147811078645,VFR Diurna,Grama,640,30,80.0
SITB,Privado,Fazenda Touro Branco,Naviraí,MS,-23.014166666666668,-53.7875,11.200841052250398,VFR Diurna,Grama,1000,30,120.0
SDUF,Privado,Fazenda Touro Peru,Porto Murtinho,MS,-21.080555555555556,-57.50666666666667,11.900618577656548,VFR Diurna,Cascalho,900,35,40.0
SIFT,Privado,Fazenda Travessão,Vila Bela da Santíssima Trindade,MT,-16.144444444444446,-60.12027777777778,11.777789966581743,VFR Diurna,Cascalho,1000,20,10.0
SSVY,Privado,Fazenda Três Barras,Pitangueiras,SP,-20.93777777777778,-48.17333333333333,7.960171302207876,VFR Diurna,Grama,800,23,140.0
SJBZ,Privado,Fazenda Três Barras,Itarumã,GO,-18.959166666666665,-51.11,6.402129908172051,VFR Diurna,Terra,820,19,180.0
SWQL,Privado,Fazenda Três Companheiros,Doverlândia,GO,-16.6825,-52.25277777777778,5.068584348650293,VFR Diurna,Asfalto,1240,23,40.0
SNLF,Privado,Fazenda Três Flechas,Vila Rica,MT,-10.080833333333333,-51.888888888888886,4.271885055688216,VFR Diurna,Terra,1400,18,10.0
SWOF,Privado,Fazenda Três Fronteiras,Alto Taquari,MT,-18.039166666666667,-53.151111111111106,6.677374878074887,VFR Diurna,Cascalho,800,18,180.0
SSIY,Privado,Fazenda Três Irmãos,Novo Progresso,PA,-9.345555555555556,-55.88472222222222,7.998389618974155,VFR Diurna,Terra,1000,20,60.0
SILT,Privado,Fazenda Três Irmãos,Santa Fé do Sul,SP,-20.227777777777778,-50.968333333333334,7.5546966219288185,VFR Diurna,Terra,1000,20,70.0
SSLK,Privado,Fazenda Três Lagoas,Itapecerica,MG,-20.40583333333333,-44.99777777777778,8.31119894208641,VFR Diurna,Terra,750,18,160.0
SWUU,Privado,Fazenda Três Marias,Água Clara,MS,-19.503333333333334,-53.05027777777777,7.785507196026643,VFR Diurna,Terra,1000,40,100.0
SWOO,Privado,Fazenda Três Marias do Água Limpa,Britânia,GO,-15.071388888888889,-51.39277777777778,3.3420974253628932,VFR Diurna,Grama,900,50,30.0
SSMP,Privado,Fazenda Três Minas,Itambé,PR,-23.672777777777778,-52.01,11.15373415022194,VFR Diurna,Grama,700,18,60.0
SWMU,Privado,Fazenda Três Muchachas,Bandeirantes,MS,-19.642777777777777,-54.03194444444444,8.474346933030176,VFR Diurna,Saibro,800,18,20.0
SJNK,Privado,Fazenda Três Perobas,Santa Luzia d'Oeste,RO,-12.081666666666667,-61.64277777777778,12.905492777385934,VFR Diurna,Cascalho,980,36,20.0
SJGT,Privado,Fazenda Três Pontes,Três Lagoas,MS,-19.830555555555556,-52.58527777777778,7.823863094350247,VFR Diurna,Terra,750,18,180.0
SWIM,Privado,Fazenda Três Ranchos,Montes Claros de Goiás,GO,-16.118333333333332,-51.67361111111111,4.26086379298208,VFR Diurna,Cascalho,1100,20,150.0
SSJZ,Privado,Fazenda Três Unidos,Terra Roxa,PR,-24.051666666666666,-54.00666666666667,12.229554934211173,VFR Diurna,Grama,860,40,30.0
SNTL,Privado,Fazenda Treze Estrelas,Araguaína,TO,-7.218888888888889,-49.16916666666666,5.794875296914517,VFR Diurna,Cascalho,1000,25,110.0
SWXF,Privado,Fazenda Triflora,São Desidério,BA,-12.44888888888889,-45.67944444444444,3.139308379048714,VFR Diurna,Terra,1400,23,100.0
SDZI,Privado,Fazenda Trijunção,Jaborandi,BA,-14.795277777777777,-46.005,3.296702488757928,VFR Diurna/Noturna,Saibro,1260,23,70.0
SJTN,Privado,Fazenda Triunfo,Candeias do Jamari,RO,-9.176388888888889,-63.677499999999995,15.390047374163997,VFR Diurna,Cascalho,1300,18,10.0
SDTR,Privado,FAZENDA TRIUNFO,Vila Bela da Santíssima Trindade,MT,-16.129722222222224,-59.8975,11.559256785722495,VFR Diurna,Cascalho,1000,20,20.0
SJFT,Privado,Fazenda Triunfo do Rio Turvo,Nova Bandeirantes,MT,-10.093055555555557,-57.72694444444445,9.416856151813652,VFR Diurna,Cascalho,900,20,90.0
SDMK,Privado,Fazenda Tropical,Brasilândia,MS,-20.970555555555553,-52.522777777777776,8.809829562118678,VFR Diurna,Cascalho,900,18,40.0
SWXC,Privado,Fazenda Tropical,Corumbiara,RO,-12.886111111111111,-61.29833333333333,12.528850976451245,VFR Diurna,Asfalto,1100,18,180.0
SJTU,Privado,Fazenda Tucano,Campo Novo do Parecis,MT,-13.582777777777778,-57.559444444444445,8.808743586928097,VFR Diurna,Cascalho,1200,30,60.0
SJWT,Privado,Fazenda Tucumã,Correntina,BA,-13.6325,-45.799166666666665,3.0374178086730965,VFR Diurna,Cascalho,1000,20,100.0
SWTU,Privado,Fazenda Tucunaré,Sapezal,MT,-13.465277777777777,-58.86638888888889,10.107104036576096,VFR Diurna/Noturna,Asfalto,1500,23,30.0
SSTU,Privado,Fazenda Tujuri,Eldorado,MS,-23.692777777777778,-54.37861111111111,12.07443643407912,VFR Diurna,Terra,1000,18,90.0
SDHK,Privado,Fazenda Tulipa,Campinorte,GO,-14.110555555555555,-49.046388888888885,1.1444319376339243,VFR Diurna,Terra,1000,20,90.0
SNOH,Privado,Fazenda Tundavala,Barra do Garças,MT,-14.857222222222221,-52.03611111111111,3.757227192071233,VFR Diurna,Terra,1000,23,20.0
SWZN,Privado,Fazenda Tunica,Água Boa,MT,-14.071666666666667,-52.03944444444444,3.440601171271243,VFR Diurna,Cascalho,950,18,60.0
SSKB,Privado,Fazenda Tupanciretã,Aquidauana,MS,-19.474444444444444,-56.37722222222222,9.989407429996492,VFR Diurna,Grama,750,23,150.0
SIJM,Privado,Fazenda Tupancy,Sapezal,MT,-13.455,-58.589444444444446,9.829980376253598,VFR Diurna,Cascalho,900,18,60.0
SWBT,Privado,Fazenda Tupi,Nova Andradina,MS,-21.80527777777778,-53.12861111111111,9.824988934432874,VFR Diurna,Grama,780,23,40.0
SDPR,Privado,Fazenda Turazzi,Pontes e Lacerda,MT,-15.155555555555557,-59.31027777777778,10.758432756949425,VFR Diurna,Asfalto,700,18,110.0
SNOW,Privado,Fazenda Turmalina,Rancharia,SP,-21.98222222222222,-50.97222222222222,9.248248416074906,VFR Diurna,Terra,1100,20,130.0
SIIS,Privado,Fazenda Uberaba,Alto Paraíso,PR,-23.65,-53.83027777777778,11.791052166294218,VFR Diurna,Cascalho,700,25,20.0
SIUB,Privado,Fazenda Uberaba,Cáceres,MT,-17.275277777777777,-57.89666666666667,10.078394937766872,VFR Diurna,Grama,1000,18,150.0
SJUI,Privado,Fazenda Uirapuru ,Araguanã,TO,-6.856944444444444,-48.44,6.15191283737359,VFR Diurna,Cascalho,1000,18,40.0
SJDE,Privado,Fazenda União,Jateí,MS,-22.644166666666667,-54.097500000000004,11.017813165254005,VFR Diurna,Terra,1100,20,10.0
SWUN,Privado,Fazenda União,Inocência,MS,-19.2925,-52.06083333333333,7.101066136699314,VFR Diurna,Terra,600,18,130.0
SDHR,Privado,Fazenda União,Porto Murtinho,MS,-20.911944444444444,-57.23277777777778,11.585226480653048,VFR Diurna,Cascalho,750,23,140.0
SJBC,Privado,Fazenda União,Cumaru do Norte,PA,-8.989999999999998,-51.215,4.696607818415331,VFR Diurna,Grama,1150,20,170.0
SIXA,Privado,Fazenda União Suzanápolis,Suzanápolis,SP,-20.531666666666666,-51.09166666666667,7.881379250416064,VFR Diurna,Terra,600,30,130.0
SJQX,Privado,Fazenda Uruará,Uruará,PA,-3.5230555555555556,-53.396388888888886,10.54589731385248,VFR Diurna,Cascalho,800,18,110.0
SNPG,Privado,Fazenda Uval,Corumbá,MS,-17.30138888888889,-56.49805555555556,8.844477884149516,VFR Diurna,Grama,1300,25,180.0
SSJB,Privado,Fazenda Vaca Branca,Naviraí,MS,-23.06722222222222,-53.82083333333334,11.263209162255492,VFR Diurna,Grama,480,20,180.0
SJZL,Privado,Fazenda Vaca Mocha,Caracol,MS,-22.221666666666664,-57.158055555555556,12.465897966620673,VFR Diurna,Cascalho,1200,20,150.0
SSDS,Privado,Fazenda Vale,Tapurah,MT,-12.432222222222222,-56.19611111111111,7.447784760551696,VFR Diurna,Cascalho,1100,18,110.0
SIVY,Privado,Fazenda Vale do Boi II,São Félix do Araguaia,MT,-11.670833333333333,-52.094722222222224,3.580567257113884,VFR Diurna,Cascalho,1500,20,90.0
SWVK,Privado,Fazenda Vale do Rio Celeste,Nova Ubiratã,MT,-13.036944444444444,-55.32611111111112,6.5562152033936405,VFR Diurna,Cascalho,800,18,160.0
SWAV,Privado,Fazenda Vale dos Sonhos,Palestina de Goiás,GO,-16.791944444444447,-51.44555555555555,4.6408447723035575,VFR Diurna,Cascalho,991,25,170.0
