ICAO,TIPO,NOME,MUNICIPIO,UF,LATD,LONGT,DIST,APROXIMCAO,SUPERFICIE,COMPRIMENTO,LARGURA,ORIENTACAO
SNOL,Privado,Agropecuária Mariana,Alta Floresta,MT,-9.969722222222222,-56.2175,8.040388029224324,VFR Diurna,Cascalho,900,18,10.0
SWQH,Privado,Agropecuária Nova Santana,Aripuanã,MT,-10.141666666666666,-60.547777777777775,12.11965836264209,VFR Diurna,Cascalho,1300,25,100.0
SWCI,Privado,Agropecuária Rio da Prata,Posse,GO,-14.225,-46.54833333333333,2.537011584084274,VFR Diurna,Asfalto,8953,18,160.0
SNCO,Privado,AGROPECUÁRIA SANTA PAOLA,Tacuru,MS,-23.516944444444444,-55.06305555555555,12.255964616171156,VFR Diurna,Grama,800,20,50.0
SIVD,Privado,Agropecuária Santa Rita,Rio Verde de Mato Grosso,MS,-19.00611111111111,-55.00138888888889,8.65468533013074,VFR Diurna,Terra,800,18,150.0
SIHA,Privado,Agropecuária São Bernardo,São Miguel das Missões,RS,-28.81833333333333,-54.3825,16.78451148215057,VFR Diurna,Grama,820,20,30.0
SJRK,Privado,Agropecuária São Roberto,Santana do Araguaia,PA,-9.232222222222223,-50.93055555555555,4.343287889532305,VFR Diurna,Piçarra,845,18,20.0
SJHU,Privado,Agropecuária Vale do Guaporé,Comodoro,MT,-13.87861111111111,-60.09638888888889,11.36041560625814,VFR Diurna,Areia,750,23,10.0
SWZA,Privado,Agrosan,Juara,MT,-11.396944444444443,-58.117222222222225,9.483688648716935,VFR Diurna,Terra,1500,30,10.0
SDGT,Privado,Agrotec,Manacapuru,AM,-3.2055555555555557,-60.54138888888889,15.313286334055318,VFR Diurna,Asfalto,1200,30,80.0
SNAV,Privado,Agrovale,Juazeiro,BA,-9.504166666666666,-40.36944444444445,9.09891116213472,VFR Diurna,Asfalto,1000,18,130.0
SJYE,Privado,Água Fria,Uiramutã,RR,4.620555555555556,-60.27722222222222,21.045192832521742,VFR Diurna,Terra,900,20,100.0
SIUA,Privado,Águas Claras,Viamão,RS,-30.119444444444444,-50.853611111111114,17.245776681517288,VFR Diurna/Noturna,Grama,450,20,170.0
SJQL,Privado,Águas Claras Aviação Agrícola ,Santa Juliana,MG,-19.322222222222223,-47.555,6.437912614128939,VFR Diurna,Terra,900,25,90.0
SWIV,Privado,Águia Branca do Parú,Almeirim,PA,-1.2680555555555555,-53.26138888888889,12.56228858921675,VFR Diurna,Piçarra,700,18,120.0
SJYF,Privado,Ajarani,Caracaraí,RR,2.0077777777777777,-61.475833333333334,19.663966907051204,VFR Diurna,Cascalho,1000,25,80.0
SDIR,Privado,Ajarani 2,Iracema,RR,1.8875,-62.01833333333333,19.92877297680695,VFR Diurna,Piçarra,675,17,90.0
SIGL,Privado,Alagoinhas,Alagoinhas,BA,-12.175277777777778,-38.38,10.42268040111694,VFR Diurna/Noturna,Asfalto,1580,30,20.0
SIGE,Privado,Alberi Juliani,Lagoa da Confusão,TO,-10.784444444444444,-49.58583333333333,2.3609892942431694,VFR Diurna,Cascalho,1000,30,170.0
SNXI,Privado,Alberto Ramos,Cordisburgo,MG,-19.08722222222222,-44.32777777777778,7.5357556126987655,VFR Diurna,Terra,1400,30,160.0
SIQU,Privado,Alcoolvale,Aparecida do Taboado,MS,-20.086388888888887,-51.30916666666666,7.527567657994111,VFR Diurna,Grama,1000,25,10.0
SNDG,Privado,Aldeia,Borba,AM,-6.473611111111111,-59.79194444444444,12.809254906723963,VFR Diurna,Cascalho,600,18,180.0
indefinido,Privado,Aldeia Bona,Almeirim,PA,1.2163888888888887,-54.6625,15.389193263135121,VFR Diurna,Não definido,0,0,0.001
SSDY,Privado,Alegria Alcolumbre,Macapá,AP,0.8408333333333333,-50.651944444444446,13.968191803275268,VFR Diurna,Piçarra,900,18,140.0
SNUF,Privado,Alfa Airport Posse,Santo Antônio de Posse,SP,-22.572222222222223,-46.94222222222222,9.74516340943256,VFR Diurna,Terra,1500,23,30.0
SJXJ,Privado,Alimentos Dallas,Nova Alvorada do Sul,MS,-21.454166666666666,-54.39083333333333,10.152177174817668,VFR Diurna,Asfalto,795,12,110.0
SJYG,Privado,Alto Mucajaí,Alto Alegre,RR,2.765,-62.22138888888889,20.723780737117526,VFR Diurna,Grama,600,25,90.0
SWAO,Privado,Anamoim,São Gabriel da Cachoeira,AM,1.799722222222222,-67.38388888888889,23.78042550970944,VFR Diurna,Piçarra,1000,23,140.0
SDJS,Privado,Andorinha,Uiramutã,RR,4.727222222222222,-60.24166666666667,21.11524434684952,VFR Diurna,Terra,820,20,130.0
SNON,Privado,André Textor,Montividiu,GO,-17.445,-51.14,5.037352975521965,VFR Diurna,Terra,1010,25,180.0
SDKA,Privado,Angical,Normandia,RR,4.165,-59.835,20.422327242505933,VFR Diurna,Terra,432,12,130.0
indefinido,Privado,Aníbal,Russas,CE,-4.828333333333333,-37.94277777777778,13.564839739580188,VFR Diurna,Não definido,0,0,0.001
SJHF,Privado,Aníbal Azevedo Filho,Mata de São João,BA,-12.553611111111111,-38.31472222222222,10.464802743034259,VFR Diurna,Piçarra,500,18,110.0
SWIA,Privado,Antônio Costa da Silva,Juruá,AM,-3.4822222222222226,-66.05749999999999,19.73437990100424,VFR Diurna,Concreto,1200,20,40.0
SSFU,Privado,Antonio Furlaneto,Dom Eliseu,PA,-4.435555555555556,-47.59861111111111,8.644180734516583,VFR Diurna,Piçarra,1000,18,110.0
SNYW,Privado,Antônio Guerreiro,Guimarães,MA,-2.1105555555555555,-44.652499999999996,11.64189875229303,VFR Diurna,Piçarra,800,18,50.0
SSPO,Privado,APLIC Aviação agrícola II,Itaporã,MS,-22.009166666666665,-54.78972222222222,10.83522679321913,VFR Diurna,Cascalho,740,20,40.0
SSIC,Privado,APLIC Aviação Agrícola LTDA,Dourados,MS,-22.30666666666667,-54.824444444444445,11.102717774279801,VFR Diurna,Cascalho,750,23,10.0
SJYI,Privado,Arai,Pacaraima,RR,4.443888888888889,-60.84722222222222,21.216704649234277,VFR Diurna,Terra,700,25,90.0
SJHZ,Privado,Arara Azul,Barão de Melgaço,MT,-17.00583333333333,-56.45944444444445,8.670308907913375,VFR Diurna,Grama,750,18,180.0
SJYJ,Privado,Aratha-ú,Alto Alegre,RR,3.160833333333333,-63.78138888888889,22.057069850758385,VFR Diurna,Grama,650,30,80.0
SIEW,Privado,Areia Branca,Novo Aripuanã,AM,-7.987777777777778,-61.05027777777777,13.263769973288921,VFR Diurna,Cascalho,1000,20,60.0
SJTW,Privado,Arenhart Aviação Agrícola,Uruguaiana,RS,-29.889444444444443,-57.14111111111111,18.850168033111615,VFR Diurna,Saibro,385,20,120.0
SSOU,Privado,Aripuanã,Aripuanã,MT,-10.185555555555556,-59.45777777777778,11.052135149283355,VFR Diurna,Asfalto,1300,23,10.0
SWOA,Privado,Arnapar,Goianira,GO,-16.540555555555557,-49.39833333333333,3.5958776981083616,VFR Diurna,Terra,860,18,180.0
SIEZ,Privado,Asa Branca,Tubarão,SC,-28.528055555555554,-48.94916666666666,15.52908915651089,VFR Diurna,Grama,620,18,30.0
SJPR,Privado,Asas de Balsa Nova,Balsa Nova,PR,-25.549444444444447,-49.643055555555556,12.579776701805324,VFR Diurna,Asfalto,530,12,30.0
SINA,Privado,Asas do Ar,Brasília,DF,-15.610277777777778,-47.573888888888895,2.8712770446761047,VFR Diurna,Asfalto,50742,18,150.0
SIWC,Privado,Asas do Cerrado,Uberlândia,MG,-19.033055555555556,-48.30694444444444,6.050799929261472,VFR Diurna,Grama,750,20,40.0
SSXA,Privado,Asas do MS,Fátima do Sul,MS,-22.33861111111111,-54.55833333333333,10.98701325485437,VFR Diurna,Grama,600,18,70.0
SDBN,Privado,Associação Recreativa Fazenda Bonanza,Salto de Pirapora,SP,-23.68722222222222,-47.5575,10.755783331638867,VFR Diurna/Noturna,Asfalto,610,20,10.0
SWEJ,Privado,Associação Tocantinense de Aviação,Porto Nacional,TO,-10.182777777777778,-48.545833333333334,2.826126632659471,VFR Diurna,Asfalto,1026,20,110.0
SWAK,Privado,Assunção do Içana,São Gabriel da Cachoeira,AM,1.0663888888888888,-67.60055555555554,23.504321281507377,VFR Diurna,Argila,950,30,60.0
SDPC,Privado,Atena,Rancharia,SP,-22.152777777777775,-51.02861111111111,9.427336060659831,VFR Diurna,Terra,800,20,110.0
SWBV,Privado,Auaris,Amajari,RR,4.016388888888889,-64.51861111111111,23.185690473801156,VFR Diurna,Grama,1140,23,120.0
SSJS,Privado,Autos do Sangue,Brasnorte,MT,-11.543888888888889,-58.22361111111111,9.565093967548078,VFR Diurna,Cascalho,1200,23,160.0
SIMN,Privado,Aviação Agrícola Manain,Sinop,MT,-11.75388888888889,-55.35888888888889,6.705687861163687,VFR Diurna,Cascalho,800,18,20.0
SWVS,Privado,Baía do Padre,Vila Bela da Santíssima Trindade,MT,-15.858888888888888,-60.04222222222222,11.62911172472656,VFR Diurna,Cascalho,900,20,160.0
SJYK,Privado,Baixo Catrimani,Caracaraí,RR,1.0711111111111111,-62.218333333333334,19.464168036309154,VFR Diurna,Grama,800,30,170.0
SJYL,Privado,Baixo Mucajaí,Alto Alegre,RR,2.7369444444444446,-62.019444444444446,20.571805913287015,VFR Diurna,Cascalho,900,30,170.0
SJYM,Privado,Bala,Pacaraima,RR,3.8372222222222225,-60.60333333333333,20.57959741924685,VFR Diurna,Terra,600,20,50.0
SNBN,Privado,Balbinot,Portel,PA,-2.8758333333333335,-50.49166666666667,10.269512491133918,VFR Diurna,Piçarra,700,18,20.0
SDBV,Privado,Balneário São Januário,Ilha Comprida,SP,-24.870833333333334,-47.75833333333333,11.913863918654696,VFR Diurna,Grama,600,18,160.0
SDOS,Privado,Banaer,Sete Barras,SP,-24.41916666666667,-47.869166666666665,11.454643951496513,VFR Diurna,Grama,500,18,120.0
SIVW,Privado,Banaer de Jacupiranga,Jacupiranga,SP,-24.71,-48.02388888888889,11.733745428895391,VFR Diurna,Cascalho,400,18,90.0
SJYO,Privado,Bananal,Uiramutã,RR,4.632777777777778,-60.58555555555556,21.22550836250839,VFR Diurna,Terra,700,25,160.0
SJYP,Privado,Bananeira,Uiramutã,RR,4.321111111111111,-60.193888888888885,20.74912353496252,VFR Diurna,Terra,800,20,90.0
SJQK,Privado,Barra do Vento,Boa Vista,RR,2.695555555555556,-60.814166666666665,19.78414554364113,VFR Diurna,Terra,1000,18,80.0
SIRI,Privado,Barra Grande,Maraú,BA,-13.90611111111111,-38.94,9.871673482529653,VFR Diurna,Concreto,1200,23,110.0
SJYQ,Privado,Barreirinha,Uiramutã,RR,4.3308333333333335,-60.285555555555554,20.80783034775284,VFR Diurna,Terra,800,25,90.0
SWZL,Privado,Base Aeroverde,Rio Verde,GO,-17.741666666666667,-50.968611111111116,5.226594837528448,VFR Diurna,Cascalho,700,18,140.0
SIVP,Privado,Bela Manhã,Nova Crixás,GO,-14.440833333333334,-50.53583333333333,2.2790717530511255,VFR Diurna,Saibro,900,19,30.0
SWUB,Privado,Belo Horizonte,Araçás,BA,-12.163333333333334,-38.29333333333333,10.510021672458896,VFR Diurna,Piçarra,700,18,110.0
SJBW,Privado,Berger Vile,São Leopoldo,RS,-29.733055555555556,-51.209722222222226,16.90997908771367,VFR Diurna,Grama,799,18,10.0
SILS,Privado,BIG MASTER,Tangará da Serra,MT,-14.636666666666667,-57.60805555555556,8.988320409334783,VFR Diurna/Noturna,Asfalto,1400,22,20.0
SDBE,Privado,Biopalma,Moju,PA,-2.207777777777778,-48.81388888888888,10.792311463648325,VFR Diurna,Piçarra,1300,24,90.0
SWEX,Privado,Boa Esperança,Santa Luzia,MA,-3.9119444444444444,-45.783055555555556,9.566325882754661,VFR Diurna,Piçarra,841,18,100.0
